Initializing IMU device...
Testing device connections...
CurieIMU connection successful
About to calibrate. Make sure your board is stable and upright
Starting Gyroscope calibration... Done
Starting Acceleration calibration... Done
Internal sensor offsets AFTER calibration...
-20	-44	19	3	14	-7
Enabling Gyroscope/Acceleration offset compensation
1
1
sampling period: 16000.00
n
Started timed_IMU_ISR
0 1:3934.00 2:16721.00 3:30756.51 4:4617.45 5:8745.65 6:6641.40 7:7230.00 8:9936.62 9:6628.69 10:5172.85
0 1:4796.00 2:17370.00 3:56201.67 4:15059.65 5:13645.18 6:3084.16 7:4129.25 8:4580.96 9:3180.61 10:4801.33
0 1:5855.00 2:16902.00 3:56817.23 4:27169.94 5:18293.86 6:11430.71 7:12972.26 8:5995.38 9:6520.28 10:2272.14
0 1:6549.00 2:15902.00 3:145688.78 4:5851.62 5:5522.28 6:15231.86 7:13580.70 8:7816.54 9:3205.43 10:4772.49
0 1:2655.00 2:15864.00 3:196619.08 4:18802.02 5:13994.71 6:5735.26 7:1378.32 8:3019.84 9:3024.90 10:1415.88
0 1:2329.00 2:15598.00 3:284036.72 4:11855.45 5:8342.36 6:3043.72 7:4205.23 8:4335.94 9:2254.26 10:2476.16
0 1:4237.00 2:16063.00 3:216237.64 4:44222.68 5:38506.15 6:24801.78 7:13433.69 8:8468.57 9:8260.41 10:11333.02
0 1:1557.00 2:15446.00 3:266367.00 4:5812.93 5:5061.54 6:3212.25 7:3722.66 8:2632.94 9:2197.62 10:2651.15
0 1:960.00 2:15607.00 3:224811.23 4:4445.28 5:2013.96 6:781.15 7:1372.74 8:1379.94 9:1077.54 10:1146.21
0 1:926.00 2:15706.00 3:195414.83 4:1328.81 5:3727.97 6:5450.28 7:7601.52 8:8568.91 9:6342.21 10:4815.76
0 1:3023.00 2:16520.00 3:64297.58 4:22416.21 5:8114.27 6:3436.40 7:9845.55 8:6370.12 9:5719.71 10:5107.88
0 1:1171.00 2:16605.00 3:17890.78 4:4932.20 5:11538.61 6:6645.16 7:9672.72 8:5737.65 9:5721.04 10:2833.35
0 1:2774.00 2:15861.00 3:117555.72 4:11138.82 5:13977.90 6:3908.61 7:3789.19 8:4041.03 9:5542.85 10:7153.35
0 1:1550.00 2:14989.00 3:252177.38 4:5706.43 5:3787.75 6:5378.83 7:4846.93 8:2343.94 9:1823.09 10:2712.65
0 1:838.00 2:15017.00 3:248344.81 4:2657.66 5:5853.68 6:5376.39 7:2906.61 8:1676.69 9:1664.65 10:481.74
0 1:395.00 2:14933.00 3:258960.86 4:1825.20 5:1666.67 6:1925.53 7:1884.23 8:1919.92 9:2227.37 10:2773.01
0 1:242.00 2:14930.00 3:258860.55 4:1052.45 5:1089.73 6:1782.78 7:1113.76 8:1117.12 9:793.76 10:995.80
0 1:821.00 2:15047.00 3:260009.61 4:17004.15 5:7079.55 6:3408.81 7:4602.11 8:4433.87 9:2320.21 10:3939.01
0 1:2145.00 2:14820.00 3:209784.14 4:17512.61 5:11225.38 6:3943.29 7:2086.98 8:2792.35 9:5672.61 10:8084.95
0 1:1963.00 2:14841.00 3:220316.45 4:11176.14 5:6982.48 6:7794.98 7:16181.52 8:12977.10 9:8435.36 10:10977.65
0 1:1677.00 2:15190.00 3:243951.52 4:4028.26 5:4978.49 6:4163.50 7:3084.86 8:3113.62 9:2957.15 10:1433.74
0 1:2645.00 2:14938.00 3:284281.66 4:8731.59 5:6888.37 6:4309.43 7:2071.91 8:2349.02 9:892.92 10:1532.16
0 1:734.00 2:16165.00 3:222701.05 4:629.31 5:1095.85 6:1354.31 7:739.55 8:784.78 9:796.19 10:581.81
0 1:202.00 2:16067.00 3:222458.92 4:219.76 5:1395.32 6:1269.32 7:1217.79 8:480.29 9:302.40 10:511.92
0 1:4751.00 2:14941.00 3:308818.84 4:2792.73 5:14935.28 6:8481.01 7:5119.62 8:2448.63 9:3210.78 10:2229.62
0 1:2694.00 2:13805.00 3:252025.48 4:16846.24 5:9863.34 6:3019.39 7:4038.17 8:4131.80 9:2495.27 10:1615.86
0 1:600.00 2:13713.00 3:224827.81 4:2157.70 5:2290.03 6:1580.47 7:853.93 8:456.55 9:612.64 10:1042.33
0 1:1548.00 2:13577.00 3:205534.39 4:3698.12 5:3855.73 6:3075.08 7:5800.00 8:3170.55 9:2465.91 10:2445.64
0 1:883.00 2:13573.00 3:199855.61 4:3677.00 5:3556.31 6:2776.52 7:1615.11 8:1192.60 9:1713.95 10:1088.76
0 1:6153.00 2:14993.00 3:205024.30 4:9960.60 5:8063.53 6:9577.29 7:8864.79 8:3903.82 9:8014.28 10:3749.17
0 1:5990.00 2:16441.00 3:203225.44 4:49884.00 5:20380.74 6:15812.33 7:16740.00 8:15053.30 9:12522.99 10:7661.78
0 1:489.00 2:16431.00 3:151433.47 4:1661.80 5:3351.23 6:1441.26 7:594.23 8:222.79 9:421.68 10:768.98
0 1:1837.00 2:16560.00 3:142796.56 4:14651.00 5:8922.16 6:5074.92 7:4973.16 8:1908.97 9:964.92 10:2004.52
0 1:1147.00 2:17012.00 3:89907.66 4:3875.72 5:3434.98 6:1500.01 7:425.54 8:1062.38 9:915.93 10:777.14
0 1:2821.00 2:15956.00 3:221004.86 4:10379.05 5:9266.90 6:10515.52 7:5702.54 8:2372.37 9:2051.55 10:734.76
0 1:1503.00 2:15665.00 3:240705.95 4:5483.33 5:4474.07 6:5331.65 7:4261.93 8:2712.69 9:1913.76 10:1429.77
0 1:834.00 2:15474.00 3:244588.92 4:8047.29 5:6706.09 6:3906.23 7:1078.47 8:1774.91 9:932.56 10:681.26
0 1:360.00 2:15540.00 3:238500.75 4:3066.90 5:1882.38 6:824.79 7:613.45 8:736.52 9:964.10 10:546.56
0 1:533.00 2:15595.00 3:240184.83 4:2903.65 5:2888.35 6:2206.58 7:1769.32 8:1892.87 9:1065.61 10:809.78
0 1:2539.00 2:16068.00 3:191458.05 4:7420.71 5:13241.30 6:6624.35 7:3549.93 8:2539.74 9:1112.13 10:1295.23
0 1:1750.00 2:16263.00 3:187969.45 4:11065.85 5:9660.48 6:6751.69 7:4255.80 8:1498.26 9:3001.06 10:1231.87
0 1:5990.00 2:16632.00 3:85037.77 4:21227.52 5:13316.97 6:14617.01 7:18823.62 8:9600.91 9:10459.71 10:9683.67
0 1:3053.00 2:16476.00 3:170332.03 4:30015.04 5:14182.70 6:5751.69 7:4145.45 8:1984.91 9:1685.38 10:1267.89
0 1:1397.00 2:16232.00 3:183646.63 4:10002.48 5:3228.65 6:4798.04 7:1938.88 8:1004.79 9:591.88 10:548.67
0 1:274.00 2:16809.00 3:139655.92 4:231.24 5:541.21 6:635.53 7:550.59 8:575.91 9:233.89 10:493.49
0 1:145.00 2:16753.00 3:145020.66 4:655.19 5:822.17 6:913.89 7:1238.26 8:537.36 9:615.37 10:453.34
0 1:165.00 2:16757.00 3:142657.36 4:1678.77 5:1572.15 6:2275.87 7:1494.40 8:791.06 9:777.29 10:184.06
0 1:93.00 2:16739.00 3:144634.33 4:373.48 5:389.45 6:864.47 7:694.32 8:1443.29 9:877.55 10:477.96
0 1:106.00 2:16749.00 3:141636.02 4:268.92 5:375.11 6:916.98 7:772.66 8:1046.82 9:618.78 10:539.58
0 1:279.00 2:16751.00 3:143738.80 4:411.96 5:1199.05 6:1008.85 7:548.10 8:195.76 9:806.89 10:611.53
0 1:2158.00 2:16300.00 3:189759.55 4:5944.11 5:5841.55 6:3655.97 7:4619.48 8:2273.93 9:3947.97 10:2700.79
0 1:400.00 2:16190.00 3:211443.81 4:898.94 5:2319.90 6:1346.48 7:756.50 8:724.19 9:775.06 10:773.57
0 1:365.00 2:16158.00 3:214585.45 4:4033.49 5:3070.61 6:2533.52 7:478.83 8:996.54 9:700.74 10:490.82
0 1:118.00 2:16201.00 3:209112.30 4:291.30 5:394.27 6:418.31 7:506.66 8:728.53 9:907.59 10:546.01
0 1:93.00 2:16213.00 3:206591.44 4:727.04 5:865.22 6:533.58 7:781.23 8:543.22 9:560.74 10:602.45
0 1:112.00 2:16215.00 3:205246.11 4:288.37 5:475.85 6:446.36 7:618.60 8:818.64 9:691.97 10:356.91
0 1:102.00 2:16243.00 3:203596.95 4:404.15 5:369.24 6:770.54 7:1101.42 8:649.58 9:470.82 10:692.23
0 1:154.00 2:16247.00 3:203179.25 4:256.76 5:557.86 6:660.70 7:641.01 8:639.65 9:778.15 10:455.63
0 1:163.00 2:16252.00 3:203104.39 4:1191.11 5:965.64 6:869.75 7:395.90 8:1214.96 9:494.52 10:534.84
0 1:106.00 2:16257.00 3:200350.11 4:462.33 5:449.94 6:540.88 7:383.08 8:732.62 9:609.56 10:496.12
0 1:122.00 2:16283.00 3:198326.73 4:208.64 5:339.09 6:692.26 7:1299.21 8:1084.14 9:570.96 10:602.90
0 1:2124.00 2:16247.00 3:209220.08 4:17266.99 5:10781.85 6:5992.42 7:3548.06 8:4621.36 9:4093.95 10:2569.61
0 1:2879.00 2:15782.00 3:250852.19 4:25141.64 5:38616.43 6:8530.65 7:14755.59 8:7866.79 9:14867.30 10:6949.37
0 1:793.00 2:15032.00 3:326464.66 4:6293.27 5:7883.31 6:6903.44 7:1015.87 8:1452.08 9:1301.78 10:2167.66
0 1:330.00 2:15000.00 3:327445.50 4:1154.12 5:1301.21 6:3387.91 7:3007.31 8:1032.08 9:890.12 10:1314.19
0 1:279.00 2:15051.00 3:323658.13 4:2093.60 5:2032.07 6:2587.58 7:1717.36 8:1091.12 9:843.85 10:878.28
0 1:199.00 2:15064.00 3:319746.13 4:579.78 5:483.70 6:778.74 7:1231.58 8:722.56 9:880.11 10:763.85
0 1:159.00 2:15041.00 3:319284.94 4:770.22 5:1390.59 6:842.25 7:856.89 8:1166.83 9:774.48 10:682.93
0 1:174.00 2:15048.00 3:318560.91 4:687.38 5:581.09 6:740.37 7:522.01 8:519.00 9:909.76 10:870.68
0 1:160.00 2:15086.00 3:314266.59 4:559.23 5:1022.94 6:1130.25 7:1678.78 8:1257.56 9:641.52 10:947.86
0 1:260.00 2:15064.00 3:314615.06 4:5078.03 5:4124.05 6:1683.44 7:934.14 8:1010.82 9:695.40 10:871.53
0 1:209.00 2:15086.00 3:310117.59 4:2424.90 5:3656.26 6:2884.16 7:2289.66 8:975.19 9:1417.90 10:1195.73
0 1:80.00 2:15029.00 3:316874.66 4:404.57 5:668.81 6:702.47 7:797.24 8:976.31 9:402.55 10:953.39
0 1:90.00 2:15031.00 3:316346.72 4:447.80 5:567.29 6:748.75 7:1216.87 8:722.85 9:665.81 10:824.73
0 1:111.00 2:15044.00 3:315463.13 4:441.51 5:548.77 6:756.80 7:785.94 8:723.65 9:986.72 10:745.37
0 1:74.00 2:15058.00 3:314568.16 4:355.74 5:612.14 6:733.80 7:756.44 8:890.67 9:516.77 10:852.57
0 1:94.00 2:15049.00 3:315525.09 4:346.19 5:800.28 6:573.18 7:821.14 8:908.89 9:604.44 10:861.62
0 1:240.00 2:15061.00 3:315060.59 4:729.05 5:1262.64 6:1524.52 7:1483.26 8:1377.83 9:948.55 10:673.63
0 1:106.00 2:15132.00 3:308344.22 4:373.04 5:796.18 6:640.64 7:603.70 8:1026.48 9:910.42 10:896.77
0 1:318.00 2:15111.00 3:307436.81 4:1675.01 5:1442.71 6:1749.04 7:1643.43 8:990.35 9:757.72 10:972.89
0 1:136.00 2:15060.00 3:312368.06 4:467.89 5:661.81 6:932.91 7:846.38 8:605.69 9:1436.43 10:765.17
